gene,total,mean,var,sd,min,max,median
CNAG_00352,12769,425.6333333333333,9756.998850574713,98.77752199045446,228,609,420.5
CNAG_00353,9451,315.03333333333336,8342.033333333333,91.33473234938248,130,524,310.5
CNAG_00354,31676,1055.8666666666666,139541.08505747127,373.55198441110076,454,1828,998
CNAG_00355,18843,628.1,20269.40344827586,142.37065515152995,301,929,609
CNAG_00356,14383,479.43333333333334,16350.047126436782,127.86730280426183,264,837,477.5
CNAG_00357,4653,155.1,1231.6103448275862,35.09430644460133,77,205,164.5
CNAG_00358,3476,115.86666666666666,790.5333333333333,28.116424618598526,61,168,114.5
CNAG_00359,36302,1210.0666666666666,563970.4781609195,750.9796789267467,351,2806,853.5
CNAG_00360,14450,481.6666666666667,121650.02298850575,348.7836334871603,77,1235,266
CNAG_00361,63379,2112.633333333333,290394.4471264368,538.8825912259894,1131,3112,2108.5
CNAG_00362,6482,216.06666666666666,1861.0298850574713,43.13965559734421,122,301,212
CNAG_00363,19145,638.1666666666666,72868.35057471265,269.9413835904244,250,1387,560.5
CNAG_00364,5491,183.03333333333333,1319.964367816092,36.331313874068634,113,265,192
CNAG_00365,16118,537.2666666666667,14305.650574712643,119.60623133730384,265,709,532
CNAG_00366,490,16.333333333333332,127.05747126436782,11.271977256203447,1,38,11.5
CNAG_00367,3230,107.66666666666667,850.919540229885,29.170525196332772,41,166,109.5
CNAG_00368,2901,96.7,1116.9758620689656,33.421188818905975,39,170,91
CNAG_00369,3963,132.1,1045.2655172413793,32.33056629942289,61,205,129.5
CNAG_00370,524813,17493.766666666666,56586771.150574714,7522.4179058714035,7291,36985,17463.5
CNAG_00371,1796,59.86666666666667,336.8091954022988,18.35236212050914,31,109,58
CNAG_00372,7042,234.73333333333332,3665.7885057471262,60.54575547259383,92,352,225
CNAG_00373,9410,313.6666666666667,11627.747126436781,107.83203200550744,142,637,314.5
CNAG_00374,4849,161.63333333333333,15546.033333333333,124.68373323466591,21,430,107.5
CNAG_00375,9112,303.73333333333335,4513.512643678161,67.18268112897967,169,410,309
CNAG_00377,14593,486.43333333333334,17258.04712643678,131.36988668045953,231,736,494
CNAG_00378,1217,40.56666666666667,379.97816091954024,19.49302852097488,15,81,35
CNAG_00383,10738,357.93333333333334,8796.340229885058,93.78880652767182,182,558,352.5
CNAG_00384,3062,102.06666666666666,623.3057471264368,24.966091947408124,60,167,98
CNAG_00385,53620,1787.3333333333333,250611.6091954023,500.61123558646017,973,2984,1717
CNAG_00386,18517,617.2333333333333,37285.35747126437,193.09416736728318,309,1076,630
CNAG_00387,12919,430.6333333333333,12711.067816091954,112.74337149514358,218,648,403
CNAG_00388,12376,412.53333333333336,20765.9816091954,144.10406520704197,189,650,419.5
CNAG_00389,17570,585.6666666666666,22125.471264367818,148.74633193584242,259,813,557
CNAG_00390,2430,81,738.1379310344828,27.16869395157748,32,138,77.5
CNAG_00391,6710,223.66666666666666,4557.126436781609,67.50649181213322,115,400,216.5
CNAG_00392,2816,93.86666666666666,434.05057471264365,20.833880452585966,45,139,94
CNAG_00393,5604,186.8,15051.062068965517,122.68277005743519,74,471,132.5
CNAG_00394,24068,802.2666666666667,29309.029885057473,171.19880223020684,489,1125,832
CNAG_00395,4361,145.36666666666667,3705.7574712643677,60.87493302882861,63,277,130
CNAG_00396,5205,173.5,3781.0862068965516,61.49053753949913,88,301,166
CNAG_00397,1723,57.43333333333333,1100.3919540229886,33.17215630650182,18,137,45
CNAG_00398,20466,682.2,237008.99310344827,486.8356941550694,210,1897,446.5
CNAG_00399,18732,624.4,95864.8,309.6204127637582,132,1200,565.5
CNAG_00400,41949,1398.3,172166.83793103448,414.92991930087965,603,2125,1380
CNAG_00401,7159,238.63333333333333,3547.274712643678,59.55900194465718,117,329,238.5
CNAG_00402,26814,893.8,47977.26896551724,219.03714060751716,566,1326,893.5
CNAG_00403,6498,216.6,1522.3862068965518,39.01776783590461,126,326,220
